row_id,snapshot_date,ingested_at,source_file,fund,total_target_weight,matched_target_weight,target_match_pct,total_benchmark_weight,matched_benchmark_weight,benchmark_match_pct
fcov_13e30d49a591,2026-07-06,2026-07-21T18:20:11Z,RMv2_PCT_Mstar_funds_2026-07-06.xlsm,MStar US Equity,2.0,2.0,1.0,2.0,2.0,1.0
fcov_ebe9eb9bdfdb,2026-07-06,2026-07-21T18:20:11Z,RMv2_PCT_Mstar_funds_2026-07-06.xlsm,MStar International Equity,2.0,2.0,1.0,2.0,2.0,1.0
fcov_69aa0d5c4268,2026-07-06,2026-07-21T18:20:11Z,RMv2_PCT_Mstar_funds_2026-07-06.xlsm,MStar Global Opportunistic Equity,1.6800000000000002,1.6800000000000002,1.0,2.0,2.0,1.0
fcov_8b9d0831541c,2026-07-06,2026-07-21T18:20:11Z,RMv2_PCT_Mstar_funds_2026-07-06.xlsm,MStar Global Income,2.0,2.0,1.0,2.0,2.0,1.0
fcov_1375d365581e,2026-07-06,2026-07-21T18:20:11Z,RMv2_PCT_Mstar_funds_2026-07-06.xlsm,MStar Total Return Bond,2.0,2.0,1.0,2.0,2.0,1.0
fcov_e572bce5a947,2026-07-06,2026-07-21T18:20:11Z,RMv2_PCT_Mstar_funds_2026-07-06.xlsm,MStar Municipal Bond,2.0,2.0,1.0,2.0,2.0,1.0
fcov_480e64987a7e,2026-07-06,2026-07-21T18:20:11Z,RMv2_PCT_Mstar_funds_2026-07-06.xlsm,MStar Defensive Bond,1.9999999999999996,1.9999999999999996,1.0,2.0,2.0,1.0
fcov_442ebf0018b0,2026-07-06,2026-07-21T18:20:11Z,RMv2_PCT_Mstar_funds_2026-07-06.xlsm,MStar Multisector Bond,1.9999999999999998,1.9999999999999998,1.0,1.9999999999999998,1.9999999999999998,1.0
fcov_eb16966c3b4c,2026-07-06,2026-07-21T18:20:11Z,RMv2_PCT_Mstar_funds_2026-07-06.xlsm,MStar Alternatives,2.0,2.0,1.0,0.0,0.0,
